user_name,user_id,nickname,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
magiclinks,6719504280841520134,MagicLinks,6946315821492817158,Trying to sus out the meeting before clicking accept 😎 #aprilfools #magiclinks #worklife #sheearnedit #work #office,1617315187,8,https://www.tiktok.com/@magiclinks/video/6946315821492817158?lang=en,19,4,3,169
magiclinks,6719504280841520134,MagicLinks,6969326605164498182,take your daily dose of #affirmations ✨ #positiveaf #dailyaffirmations #confidence247 #magiclinks #positivevibes,1622672803,9,https://www.tiktok.com/@magiclinks/video/6969326605164498182?lang=en,19,0,2,216
magiclinks,6719504280841520134,MagicLinks,6961441043740937477,So you’re telling me I could be earning money from something I’m already doing? #magiclinks #influencertips #microinfluencertips #MAKEYOURMOVE,1620836802,8,https://www.tiktok.com/@magiclinks/video/6961441043740937477?lang=en,19,0,0,211
superashley127,6548070292237058050,Ashley Lopez,6946323414328151301,CURVY GIRLS! @express just hooked it up with a new line for 13”+ waist to hip differences! No more gapping! @magiclinks #expresspartner #magiclinks,1617316955,58,https://www.tiktok.com/@superashley127/video/6946323414328151301?lang=en,4082,103,49,52600
noticiasmk,6785497585407837189,Noticiasmk,6956035167035215110,Probando algunas cositas de @elfcosmetics  #magiclinks @magiclinks  #elfcosmetics #eyeslipsface #noticiasmk #makeup #beauty,1619578151,28,https://www.tiktok.com/@noticiasmk/video/6956035167035215110?lang=en,19,0,2,379
magiclinks,6719504280841520134,MagicLinks,6927399999311531270,Link in bio to apply #MagicLinks #influencers #creators #monetize #money #commission #earnmoney,1612911014,10,https://www.tiktok.com/@magiclinks/video/6927399999311531270?lang=en,17,0,1,216
magiclinks,6719504280841520134,MagicLinks,6911740776502398214,Go make that 💰 #earnmoney #howto #tiktok #magiclinks #monetize,1609265068,12,https://www.tiktok.com/@magiclinks/video/6911740776502398214?lang=en,17,1,1,347
magiclinks,6719504280841520134,MagicLinks,6934769446158355718,Apply with the link in bio! #magiclinks #monetize #influencer #makemoney #getpaid #socialmedia,1614626844,7,https://www.tiktok.com/@magiclinks/video/6934769446158355718?lang=en,17,10,3,286
magiclinks,6719504280841520134,MagicLinks,6933644178991713541,Define “influencer”...? Apply today! Link in bio 🔮#peoplebelikechallenge #dramaticmoments #influencer #MagicLinks #socialmedia,1614364848,14,https://www.tiktok.com/@magiclinks/video/6933644178991713541?lang=en,16,2,1,257
magiclinks,6719504280841520134,MagicLinks,6943305270294482181,✨want to be a full-time content creator? ✨ top MagicLinks creator @adriennefinch shares how she turns 🔗s to 💸 - link to apply in bio! #magiclinks,1616614238,20,https://www.tiktok.com/@magiclinks/video/6943305270294482181?lang=en,16,0,2,216
