video_id,description,creation_time,duration,author_id,username,nickname,music_id,song_title,music_author_name,diggs,shares,comments,plays
6905089531570113798,Christmas Outfits Every Girl (link in bio to shop) #christmasoutfit #christmasdress #christmas #tiktokfashion #fashion #style,1607716458,29,6755939935561778181,naomiboyer,Naomi Boyer,6777559167281399809,I Can Feel It (Christmas Instrumental),Nick Sena and Danny Echevarria,12400,124,57,147400
6904329101750979846,3 Affordable Shackets You Need from @boohoo (link in profile to shop) #shacket #affordablefashion #tiktokfashion #winterfashion #fashion #style,1607539413,22,6755939935561778181,naomiboyer,Naomi Boyer,6904328997535369989,original sound,Naomi Boyer,5053,99,29,107900
6902463545758272774,Chanel 19 Unboxing #chanel #chanel19 #unboxing #handbags #tiktokfashion,1607105079,14,6755939935561778181,naomiboyer,Naomi Boyer,6792647431847675906,Aesthetic Girl,Yusei,5732,82,32,128000
6902172292894231814,How to Style Brown Leggings #howto #leggings #wfh #loungewear #tiktokfashion #fashion #style,1607037252,19,6755939935561778181,naomiboyer,Naomi Boyer,6902172261336255237,original sound,Naomi Boyer,5362,61,16,113300
6901817490851073286,Casual Winter Outfit. Link in profile to shop! #casual #winterfashion #tiktokfashion #ootd #outfitideas,1606954643,15,6755939935561778181,naomiboyer,Naomi Boyer,6847647314127932166,What You Know Bout Love,Pop Smoke,12000,213,87,293600
6901427442070670597,Chic & Sexy Fall/Winter Look. Link in profile to shop! #tiktokfashion #ootd #grwm #outfitideas #fashion #style,1606863830,14,6755939935561778181,naomiboyer,Naomi Boyer,6586532452280306433,Pump,Valentino Khan,12800,101,65,248300
6900991506442702085,3 Ways To Style Leggings Pt. 4 #leggings #wfh #loungewear #howto #fashion #tiktokfashion,1606762320,29,6755939935561778181,naomiboyer,Naomi Boyer,6900991502894336773,original sound,Naomi Boyer,45000,1777,174,548200
6899105339925417221,Cute and comfy transitional cotton pieces from The Cotton Shop on @revolve #ad #ShopCotton #revolve #boots #fallfashion,1606323183,18,6755939935561778181,naomiboyer,Naomi Boyer,6622898477217090306,SOLO,제니 (JENNIE),4059,47,34,104000
6898374838126169349,Shop worry-free this holiday season with @ebay  Authenticity Guarantee Service #eBayPartner #eBayAuthentic,1606153093,24,6755939935561778181,naomiboyer,Naomi Boyer,6898374861329091334,original sound,Naomi Boyer,8102,63,13,193300
6896997720255368454,Turning my Loungewear into a Chic Outfit #loungewear #wfh #outfitideas #fashionhacks #howto #fashion,1605832451,17,6755939935561778181,naomiboyer,Naomi Boyer,6704994620880717826,Superstar,Beatrich,3746,41,20,110400
6896563689021902085,Fall Outfit #fallfashion #combatboots #ootd #outfitinspo #outfitidea #style,1605731403,18,6755939935561778181,naomiboyer,Naomi Boyer,6566097161749007105,Saying,Tik Tok,2959,35,20,92300
6896191112160021765,Link in profile to shop and for more looks! #holidayoutfit #thanksgivingoutfit #outfitideas #outfitinspo #holidays @missguided,1605644652,24,6755939935561778181,naomiboyer,Naomi Boyer,6896191139028683526,original sound,Naomi Boyer,12400,84,88,231900
6895854544161492230,Baby Shower Hair by @jennlagron #babyshower #hairinspo #hairtutorial #highpony #bridalhair #hair,1605566274,18,6755939935561778181,naomiboyer,Naomi Boyer,6733074442043293698, Diva,Beyoncé ,8660,72,12,170900
6892922585932205318,Already decorating for Christmas #Christmas #christmastree #holidays #christmasdecor,1604883633,20,6755939935561778181,naomiboyer,Naomi Boyer,222454852260487168,All I Want for Christmas Is You,Mariah Carey,2486,41,8,82300
6890602230517435653,Hawaii Dinner Outfit #grwm #ootd #grwm #pregnant #babymoon #hawaii,1604343397,17,6755939935561778181,naomiboyer,Naomi Boyer,6778461581178046466,Fly,Marshmello,11500,109,93,196200
