video_id,description,creation_time,duration,author_id,username,nickname,music_id,song_title,music_author_name,diggs,shares,comments,plays
6.88E+18,We stan our Aussies ❤️🥰❤️🥰 thank you all for the #kitchenmail #fanmail #mail #fyp #foryou #foryoupage #xyzbca #VibeWithUs #TikTokCooks,1601084960,59,6.72E+18,mrhamilton,Casey Hamilton,6.75E+18,Classical Music,Classical Music,46900,37,213,261100
6.88E+18,I CANNOT BELIEVE THIS AUDIO EXISTS RIGHT NOW 😂 @djlostone you are the ONE #fyp #foryou #foryoupage #jonesbbqandfootmassage #comedy #dumb #funny #xy,1601084735,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,Whole lotta choppas x Jones BBQ foot massage,Dj Lost One,38900,251,272,240700
6.88E+18,#duet with @themichaelspencer this is my new favorite chain 🥰 #fyp #charliebrown #charliebrowndance #foryou #foryoupage #xyzbca #VibeWithUs,1601084286,11,6.72E+18,mrhamilton,Casey Hamilton,6.72E+18,Charlie Brown,Children's Cartoon All-Stars,28000,164,187,224000
6.88E+18,Reply to @cassidyrathe seriously they’re mine and i bought them first so i could have em #fyp #gummiworms #trolli #xyzbca #foryoupage #foryou,1601083790,24,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,5613,17,141,61600
6.88E+18,Reply to @joyceee2020 it’s almost October 😈 #voiceeffects #fyp #foryou #foryoupage #xyzbca #scary #spooky #spooktober #VibeWithUs #megaphone,1601083637,18,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,27400,206,582,184600
6.88E+18,#duet with @lil_glassy YOU MADE ME SUCH A LIL CUTIE PUFF 🥰 thank you for this #fyp #foryou #foryoupage #art #artist #thankyou #xyzbca,1601082925,20,6.72E+18,mrhamilton,Casey Hamilton,6.87E+18,original sound,Casey Hamilton,16600,23,122,110400
6.88E+18,Reply to @emack1865 i am so sorry for dis #fyp #foryou #foryoupage #xyzbca #TikTokCooks #vibe #comedy #dumb #train #amtrak,1601082829,5,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,46600,2584,790,424900
6.88E+18,I HATE THIS IMG,1601078390,11,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,wap like to party,✨,12700,130,293,117000
6.88E+18,"Reply to @hey_no_prob To be fair, I’ve never (successfully) killed anyone 🥺 #fyp #foryou #foryoupage #xyzbca #transatlanticaccent #accent",1601077896,8,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,7877,22,112,91400
6.88E+18,this light is v spooky and I don’ know if I enjoy it,1601074265,14,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,13900,19,132,107900
6.88E+18,,1601073934,10,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,106700,380,554,643100
6.88E+18,this is my first-ever time taking a train and I am VERY excited 🥺 #fyp #foryou #amtrak #train #lovethis #raleigh #northcarolina #businesstrip #merch,1601073631,30,6.72E+18,mrhamilton,Casey Hamilton,6.79E+18,Vaporwave,Raindrop Relly,44200,56,677,243900
6.88E+18,"See ya tomorrow, North Carolina! #raleigh #businesstrip #fyp #foryoupage #foryou  #xyzbca #VibeWithUs #merch #merch #merch",1601069272,19,6.72E+18,mrhamilton,Casey Hamilton,6.82E+18,animal crossing ~ new horizons lofi,Closed on Sunday,3877,9,137,56100
6.88E+18,Thank you again for all the kitchen mail! I love you lil’ nuggets 🥰 #fyp #foryou #foryoupage #xyzbca #TikTokCooks #VibeWithUs #kitchenmail #fanmail,1601046344,59,6.72E+18,mrhamilton,Casey Hamilton,6.78E+18,Blue Blood,Heinz Kiessling & Various Artists,54100,92,336,223200
6.88E+18,Reply to @monikarr79 only @itsadoredelano can have hogbody and that is final,1601046247,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,18800,41,322,128400
6.88E+18,@diehardresin thank you and countless others for the beautiful mail. I love you all 🥺 #kitchenmail #mailtime #fanmail #mail #fyp #foryou #foryoupage,1601045340,59,6.72E+18,mrhamilton,Casey Hamilton,6.76E+18,Buttercup,Jack Stauber,15400,40,199,88200
6.88E+18,Thank you to @scottdhenry and the gang for slapping me with such love ❤️❤️❤️ #thankyou #lovedlap #xyzbca #fyp #foryou #foryoupage #scottdhenry,1601009437,59,6.72E+18,mrhamilton,Casey Hamilton,6.77E+18,UNDERWATER WONDERSCAPES (MASTER),Frederic Bernard,21300,95,923,120000
6.88E+18,i wish i could go clubbing #fyp #foryou #foryoupage #xyzbca #dance #dumb #oriellyautoparts #art,1601003708,15,6.72E+18,mrhamilton,Casey Hamilton,2.61E+17,original sound,Shadow 天使,144300,2709,1382,997000
6.88E+18,#duet with @drownthecityy I LOVE THIS SO FKING MUCH 😂 everyone go follow this phenomenal talent #fyp #foryou #foryoupage #xyzbca #PaTiChallenge #art,1601002075,24,6.72E+18,mrhamilton,Casey Hamilton,6.77E+18,puttin on the mf ritz,the biggest of toots,66100,37,227,393900
6.88E+18,Link’s in the bio BEENCH #fyp #cameo #foryou #foryoupage #xyzbca,1601001935,23,6.72E+18,mrhamilton,Casey Hamilton,6.85E+18,May I,Flo Milli,8283,20,133,81100
6.88E+18,#duet with @s_johnson_voiceovers look like we about to seriously throw down here 😡 #fyp #pastaforever #foryou #foryoypage #comedy #funny #xyzbca,1600993917,12,6.72E+18,mrhamilton,Casey Hamilton,6.78E+18,Stella by Starlight,Instrumental,16500,13,561,143100
6.88E+18,i hate myself,1600993207,14,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,15800,201,435,99700
6.88E+18,,1600992368,14,6.72E+18,mrhamilton,Casey Hamilton,6.86E+18,Whole Lotta Choppas,Sada Baby,8995,20,140,81600
6.88E+18,I love the lil’ BONK it does 🥰 #fyp #foryou #foryoupage #car #cartime,1600964010,12,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,21100,19,178,130600
6.88E+18,#duet with @mamagonnasnap why do you consistently nail it every time? #fyp #foryou #foryoupage #xyzbca #thankyou #art #artist,1600963940,39,6.72E+18,mrhamilton,Casey Hamilton,6.87E+18,original sound,Jen,111000,74,609,472000
